,AAPL_US,NVDA_US,MSFT_US,GOOG_US,TSLA_US,AMZN_US,BRK-B_US,XOM_US,LLY_US,JPM_US
1972-06-02,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.0115996464869641,0.020149890050711328
1972-06-05,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.013432346838484155,0.020149890050711328
1972-06-06,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.009630285587779341,0.020149890050711328
1972-06-07,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.011735777355538213,0.020149890050711328
1972-06-08,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.01159964648696421,0.020149890050711328
1972-06-09,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.011735777355538213,0.020149890050711328
1972-06-12,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.0019885108263368867,0.020149890050711328
1972-06-13,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.00974097852557021,0.020149890050711328
1972-06-14,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.021048015786011787,0.020149890050711328
1972-06-15,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.0055829933433542145,0.020149890050711328
1972-06-16,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.011210762331838375,0.020149890050711328
1972-06-19,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.007450599287334159,0.020149890050711328
1972-06-20,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.013272410791992817,0.020149890050711328
1972-06-21,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.009448142581060637,0.020149890050711328
1972-06-22,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.00758725341426425,0.020149890050711328
1972-06-23,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.003765060240963791,0.020149890050711328
1972-06-26,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.01125281320330096,0.020149890050711328
1972-06-27,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.005510809665112304,0.020149890050711328
1972-06-28,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.016837169650468997,0.020149890050711328
1972-06-29,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.00563624539345331,0.020149890050711328
1972-06-30,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.01329845214737313,0.020149890050711328
1972-07-03,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.011295180722891596,0.020149890050711328
1972-07-05,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.011169024571854091,0.020149890050711328
1972-07-06,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.018409425625920406,0.020149890050711328
1972-07-07,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,0.023447990910030025,0.020149890050711328
1972-07-10,-0.051515151515151625,0.10638297872340408,0.03660565723793674,-0.04668971374402242,-0.002511458529541044,-0.11644535240040865,0.034482758620689724,0.017011946166641367,-0.010597496972143627,0.020149890050711328
